threshold,test_phone_precision,test_phone_recall,test_phone_f1,test_phone_tp,test_phone_fp,test_phone_fn,test_chit_precision,test_chit_recall,test_chit_f1,test_chit_tp,test_chit_fp,test_chit_fn,all_phone_precision,all_phone_recall,all_phone_f1,all_phone_tp,all_phone_fp,all_phone_fn,all_chit_precision,all_chit_recall,all_chit_f1,all_chit_tp,all_chit_fp,all_chit_fn
0.10,0.8333,1.0,0.9091,15,3,0,0.0,0.0,0.0,0,0,0,0.8016,0.981,0.8822,206,51,4,0.9741,1.0,0.9869,113,3,0
0.15,0.875,0.9333,0.9032,14,2,1,0.0,0.0,0.0,0,0,0,0.8445,0.9571,0.8973,201,37,9,0.9739,0.9912,0.9825,112,3,1
0.20,0.875,0.9333,0.9032,14,2,1,0.0,0.0,0.0,0,0,0,0.8658,0.9524,0.907,200,31,10,0.9907,0.9469,0.9683,107,1,6
0.25,0.9286,0.8667,0.8966,13,1,2,0.0,0.0,0.0,0,0,0,0.8874,0.9381,0.912,197,25,13,1.0,0.8496,0.9187,96,0,17
0.30,0.9286,0.8667,0.8966,13,1,2,0.0,0.0,0.0,0,0,0,0.9061,0.919,0.9125,193,20,17,1.0,0.6018,0.7514,68,0,45
0.35,1.0,0.8667,0.9286,13,0,2,0.0,0.0,0.0,0,0,0,0.9146,0.8667,0.89,182,17,28,1.0,0.3009,0.4626,34,0,79
0.40,1.0,0.8,0.8889,12,0,3,0.0,0.0,0.0,0,0,0,0.9344,0.8143,0.8702,171,12,39,1.0,0.0265,0.0517,3,0,110
0.45,1.0,0.7333,0.8462,11,0,4,0.0,0.0,0.0,0,0,0,0.9379,0.719,0.814,151,10,59,0.0,0.0,0.0,0,0,113
0.50,1.0,0.6,0.75,9,0,6,0.0,0.0,0.0,0,0,0,0.9565,0.6286,0.7586,132,6,78,0.0,0.0,0.0,0,0,113
0.55,1.0,0.4,0.5714,6,0,9,0.0,0.0,0.0,0,0,0,0.9821,0.5238,0.6832,110,2,100,0.0,0.0,0.0,0,0,113
0.60,1.0,0.1333,0.2353,2,0,13,0.0,0.0,0.0,0,0,0,1.0,0.4095,0.5811,86,0,124,0.0,0.0,0.0,0,0,113
0.65,0.0,0.0,0.0,0,0,15,0.0,0.0,0.0,0,0,0,1.0,0.3571,0.5263,75,0,135,0.0,0.0,0.0,0,0,113
0.70,0.0,0.0,0.0,0,0,15,0.0,0.0,0.0,0,0,0,1.0,0.3286,0.4946,69,0,141,0.0,0.0,0.0,0,0,113
0.75,0.0,0.0,0.0,0,0,15,0.0,0.0,0.0,0,0,0,1.0,0.281,0.4387,59,0,151,0.0,0.0,0.0,0,0,113
0.80,0.0,0.0,0.0,0,0,15,0.0,0.0,0.0,0,0,0,1.0,0.1952,0.3267,41,0,169,0.0,0.0,0.0,0,0,113
0.85,0.0,0.0,0.0,0,0,15,0.0,0.0,0.0,0,0,0,1.0,0.0714,0.1333,15,0,195,0.0,0.0,0.0,0,0,113
0.90,0.0,0.0,0.0,0,0,15,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,210,0.0,0.0,0.0,0,0,113
