event_id,video_id,start_time,end_time,seat_id,label,notes,object_detected,object_confidence,avg_motion_intensity,peak_intensity,mog2_foreground_ratio,invigilator_excluded
GT0001,clip1,0,5,Desk_unknown,Normal,calm before phone-out,,0.0,0.0,0.0,0.0,False
GT0002,clip1,6,8,Desk_unknown,Suspicious,took out phone,,0.0,0.0,0.0,0.0,False
GT0003,clip1,12,16,Desk_unknown,Suspicious,"copying, photo of screen",,0.0,0.0,0.0,0.0,False
GT0004,clip1,16,50,Desk_unknown,Normal,calm between copying events,,0.0,0.0,0.0,0.0,False
GT0005,clip1,51,55,Desk_unknown,Suspicious,"copying, photo of screen",,0.0,0.0,0.0,0.0,False
GT0006,clip1,55,56,Desk_unknown,Suspicious,intervention after being seen copying,,0.0,0.0,0.0,0.0,False
GT0007,clip1,68,70,Desk_unknown,Suspicious,accused left camera scene,,0.0,0.0,0.0,0.0,False
GT0008,clip2,0,60,Desk_unknown,Normal,"setup phase, calm",,0.0,0.0,0.0,0.0,False
GT0009,clip2,0,190,Desk_unknown,Normal,"setup phase, setup guy present",,0.0,0.0,0.0,0.0,False
GT0010,clip2,190,200,Desk_unknown,Normal,setup guy leaves,,0.0,0.0,0.0,0.0,False
GT0011,clip2,150,190,Desk_unknown,Normal,accused looking around before phone,,0.0,0.0,0.0,0.0,False
GT0012,clip2,206,210,Desk_unknown,Normal,"takes out phone from pocket, no copying",,0.0,0.0,0.0,0.0,False
GT0013,clip2,210,260,Desk_unknown,Normal,"after phone-out, no copying, calm",,0.0,0.0,0.0,0.0,False
GT0014,clip3,0,2,Desk_unknown,Suspicious,hiding phone under tshirt,,0.0,0.0,0.0,0.0,False
GT0015,clip3,10,55,Desk_unknown,Normal,"calm, phone still hidden, no visible action",,0.0,0.0,0.0,0.0,False
GT0016,clip3,56,58,Desk_unknown,Suspicious,takes phone out from under tshirt,,0.0,0.0,0.0,0.0,False
GT0017,clip3,65,67,Desk_unknown,Suspicious,"photo of screen, hides under desk",,0.0,0.0,0.0,0.0,False
GT0018,clip3,81,89,Desk_unknown,Suspicious,"takes out phone, photo of screen",phone,0.484,0.0,0.0,0.0,False
GT0019,clip3,93,100,Desk_unknown,Suspicious,"takes out phone, copying",phone,0.5186,0.0,0.0,0.0,False
GT0020,clip3,107,109,Desk_unknown,Suspicious,photo of screen,phone,0.4147,0.0,0.0,0.0,False
GT0021,clip3,124,126,Desk_unknown,Suspicious,"photo of screen, phone pointing at screen",,0.0,0.0,0.0,0.0,False
GT0022,clip3,131,133,Desk_unknown,Suspicious,hides phone in pant,,0.0,0.0,0.0,0.0,False
GT0023,clip3,133,251,Desk_unknown,Normal,"acts as studying, turning pages",,0.0,0.0,0.0,0.0,False
GT0024,clip3,150,200,Desk_unknown,Normal,"acts as studying, calm stretch",,0.0,0.0,0.0,0.0,False
GT0025,clip4,3,12,Desk_unknown,Suspicious,first pair talking,,0.0,1.3286754385964914,9.858,0.18370175438596492,True
GT0026,clip4,15,70,Desk_unknown,Normal,calm between talking bursts,,0.0,0.44409909909909906,4.117,0.21050750750750746,True
GT0027,clip4,72,87,Desk_unknown,Suspicious,"second pair talking, backs visible only",,0.0,0.8117204301075269,8.021,0.22778494623655915,False
GT0028,clip4,97,102,Desk_unknown,Suspicious,"same guy talking again, looking at other screen",,0.0,1.1326818181818181,5.015,0.2575454545454546,False
GT0029,clip4,105,135,Desk_unknown,Normal,calm before final talking burst,,0.0,0.23153825136612025,2.701,0.2143579234972678,False
GT0030,clip4,140,143,Desk_unknown,Suspicious,talking again till end,,0.0,0.23302380952380955,2.445,0.16492857142857145,False
GT0031,clip6,3600,3660,Desk_unknown,Normal,"calm stretch, ~1hr mark, no noted activity",,0.0,0.0,0.0,0.0,False
GT0032,clip6,4260,4338,Desk_unknown,Suspicious,"girl looking around, then talking about exchanging seats",,0.0,0.0,0.0,0.0,False
GT0033,clip6,4358,4391,Desk_unknown,Suspicious,moves pc ahead so he can see,,0.0,0.0,0.0,0.0,False
GT0034,clip6,4391,4406,Desk_unknown,Suspicious,get up to exchange seats,,0.0,0.0,0.0,0.0,False
GT0035,clip6,4406,4471,Desk_unknown,Normal,"guard checks in, intervention, told to leave",,0.0,0.0,0.0,0.0,False
GT0036,clip7,0,24,Seat12,Normal,calm before copying starts,,0.0,0.0,0.0,0.0,False
GT0037,clip7,26,82,Seat12,Suspicious,"copying from seat 12, seat number identified",,0.0,0.0,0.0,0.0,False
