timestamp,seat_id,fused_motion_confidence,intensity,is_invigilator_motion,is_seat_vacated
0.0,seat_66,0.0,0.007,0,0
0.0,seat_65,0.0,0.02,0,0
0.0,seat_64,0.682,0.093,0,0
0.0,seat_63,5.764,0.065,0,0
0.0,seat_61,0.0,0.007,0,0
0.0,seat_60,0.674,0.269,0,0
0.5,seat_66,0.0,0.135,0,0
0.5,seat_65,0.0,0.011,0,0
0.5,seat_64,0.0,0.021,0,0
0.5,seat_63,0.0,0.018,0,0
0.5,seat_61,0.0,0.028,0,0
0.5,seat_60,0.0,0.008,0,0
1.0,seat_66,0.0,0.166,0,0
1.0,seat_65,0.0,0.041,0,0
1.0,seat_64,0.0,0.039,0,0
1.0,seat_63,0.0,0.026,0,0
1.0,seat_61,0.0,0.039,0,0
1.0,seat_60,0.0,0.021,0,0
1.5,seat_66,0.0,0.182,0,0
1.5,seat_65,0.0,0.02,0,0
1.5,seat_64,0.0,0.034,0,0
1.5,seat_63,0.0,0.018,0,0
1.5,seat_61,0.0,0.027,0,0
1.5,seat_60,0.0,0.009,0,0
2.0,seat_66,0.0,0.228,0,0
2.0,seat_65,0.041,0.044,0,0
2.0,seat_64,0.0,0.047,0,0
2.0,seat_63,0.0,0.024,0,0
2.0,seat_61,0.0,0.106,0,0
2.0,seat_60,0.0,0.021,0,0
2.5,seat_66,0.0,0.228,0,0
2.5,seat_65,0.0,0.022,0,0
2.5,seat_64,0.0,0.04,0,0
2.5,seat_63,0.0,0.021,0,0
2.5,seat_61,0.0,0.134,0,0
2.5,seat_60,0.0,0.02,0,0
3.0,seat_66,0.333,0.273,0,0
3.0,seat_65,0.132,0.047,0,0
3.0,seat_64,0.0,0.052,0,0
3.0,seat_63,0.746,0.03,0,0
3.0,seat_61,0.0,0.23,0,0
3.0,seat_60,0.0,0.033,0,0
3.5,seat_66,0.0,0.256,0,0
3.5,seat_65,0.0,0.023,0,0
3.5,seat_64,0.0,0.035,0,0
3.5,seat_63,0.0,0.022,0,0
3.5,seat_61,0.0,0.222,0,0
3.5,seat_60,0.0,0.03,0,0
4.0,seat_66,0.359,0.271,0,0
4.0,seat_65,0.113,0.046,0,0
4.0,seat_64,0.0,0.052,0,0
4.0,seat_63,0.405,0.027,0,0
4.0,seat_61,0.323,0.29,0,0
4.0,seat_60,0.044,0.036,0,0
4.5,seat_66,0.302,0.268,0,0
4.5,seat_65,0.0,0.031,0,0
4.5,seat_64,0.0,0.045,0,0
4.5,seat_63,0.0,0.02,0,0
4.5,seat_61,0.365,0.297,0,0
4.5,seat_60,0.0,0.028,0,0
5.0,seat_66,0.391,0.279,0,1
5.0,seat_65,0.359,0.052,0,1
5.0,seat_64,0.674,0.067,0,1
5.0,seat_63,1.022,0.032,0,0
5.0,seat_61,0.171,0.289,0,1
5.0,seat_60,2.851,0.146,0,0
5.5,seat_66,0.203,0.275,0,1
5.5,seat_65,0.0,0.034,0,1
5.5,seat_64,0.037,0.053,0,1
5.5,seat_63,0.026,0.026,0,1
5.5,seat_61,0.282,0.32,0,1
5.5,seat_60,4.127,0.211,0,0
6.0,seat_66,0.0,0.265,0,1
6.0,seat_65,0.623,0.055,0,1
6.0,seat_64,0.576,0.064,0,1
6.0,seat_63,0.637,0.03,0,1
6.0,seat_61,0.296,0.321,0,1
6.0,seat_60,4.014,0.206,0,0
6.5,seat_66,0.0,0.238,0,1
6.5,seat_65,0.0,0.038,0,1
6.5,seat_64,0.575,0.063,0,1
6.5,seat_63,0.0,0.023,0,1
6.5,seat_61,0.091,0.298,0,1
6.5,seat_60,3.527,0.186,0,0
7.0,seat_66,0.0,0.255,1,1
7.0,seat_65,1.249,0.067,1,1
7.0,seat_64,4.521,0.147,1,0
7.0,seat_63,0.783,0.031,1,1
7.0,seat_61,0.098,0.299,1,1
7.0,seat_60,0.89,0.2,1,0
7.5,seat_66,0.674,0.299,0,1
7.5,seat_65,0.674,0.057,0,1
7.5,seat_64,6.189,0.184,0,0
7.5,seat_63,0.0,0.024,0,1
7.5,seat_61,0.995,0.392,0,1
7.5,seat_60,0.692,0.265,0,0
8.0,seat_66,1.155,0.323,0,1
8.0,seat_65,2.678,0.096,0,1
8.0,seat_64,9.754,0.26,0,0
8.0,seat_63,1.349,0.035,0,1
8.0,seat_61,0.907,0.386,0,1
8.0,seat_60,0.801,0.283,0,0
8.5,seat_66,0.839,0.307,0,1
8.5,seat_65,2.229,0.087,0,1
8.5,seat_64,9.858,0.262,0,0
8.5,seat_63,0.0,0.023,0,1
8.5,seat_61,0.995,0.399,0,1
8.5,seat_60,0.574,0.244,0,0
9.0,seat_66,0.81,0.308,1,1
9.0,seat_65,2.7,0.117,1,0
9.0,seat_64,7.02,0.278,1,0
9.0,seat_63,0.851,0.031,1,1
9.0,seat_61,0.664,0.364,1,1
9.0,seat_60,0.289,0.213,1,0
9.5,seat_66,0.674,0.304,1,1
9.5,seat_65,1.583,0.096,1,0
9.5,seat_64,4.959,0.272,1,0
9.5,seat_63,0.0,0.022,1,1
9.5,seat_61,0.55,0.359,1,1
9.5,seat_60,0.205,0.211,1,0
10.0,seat_66,0.834,0.312,1,1
10.0,seat_65,2.851,0.137,1,0
10.0,seat_64,6.589,0.34,1,0
10.0,seat_63,0.941,0.032,1,1
10.0,seat_61,0.82,0.389,1,1
10.0,seat_60,0.612,0.262,1,0
10.5,seat_66,0.348,0.286,1,1
10.5,seat_65,2.311,0.119,1,0
10.5,seat_64,7.174,0.365,1,0
10.5,seat_63,0.0,0.024,1,1
10.5,seat_61,0.64,0.369,1,1
10.5,seat_60,0.587,0.258,1,0
11.0,seat_66,0.661,0.302,1,1
11.0,seat_65,3.294,0.156,1,0
11.0,seat_64,7.457,0.385,1,0
11.0,seat_63,0.809,0.031,1,1
11.0,seat_61,0.714,0.378,1,1
11.0,seat_60,0.668,0.268,1,0
11.5,seat_66,0.41,0.29,1,1
11.5,seat_65,2.212,0.125,1,0
11.5,seat_64,6.236,0.334,1,0
11.5,seat_63,0.0,0.022,1,1
11.5,seat_61,0.652,0.372,1,1
11.5,seat_60,0.614,0.262,1,0
12.0,seat_66,0.617,0.3,1,1
12.0,seat_65,2.597,0.139,1,0
12.0,seat_64,5.415,0.299,1,0
12.0,seat_63,2.571,0.043,1,1
12.0,seat_61,0.674,0.374,1,1
12.0,seat_60,0.348,0.234,1,0
12.5,seat_66,0.524,0.296,1,1
12.5,seat_65,1.363,0.095,1,0
12.5,seat_64,4.376,0.254,1,0
