event_id,clip_name,start_time,end_time,label
E001,dev_clip_01.mp4,12.51,15.07,Normal
E002,dev_clip_01.mp4,62.41,69.83,Normal
E003,dev_clip_01.mp4,439.0,446.6,Normal
E004,dev_clip_01.mp4,336.68,344.56,Normal
E005,dev_clip_01.mp4,83.16,87.3,Suspicious
E006,dev_clip_01.mp4,36.63,38.730000000000004,Normal
E007,dev_clip_01.mp4,46.15,49.83,Normal
E008,dev_clip_01.mp4,341.03,346.53,Normal
E009,dev_clip_01.mp4,218.2,226.07999999999998,Normal
E010,dev_clip_01.mp4,121.99,127.41,Normal
E011,dev_clip_01.mp4,13.48,16.94,Normal
E012,dev_clip_01.mp4,120.68,124.23,Normal
E013,dev_clip_01.mp4,369.3,371.87,Normal
E014,dev_clip_01.mp4,152.69,157.85,Normal
E015,dev_clip_01.mp4,485.09,488.61999999999995,Normal
E016,dev_clip_01.mp4,466.33,469.02,Suspicious
E017,dev_clip_01.mp4,309.86,312.17,Normal
E018,dev_clip_01.mp4,483.63,490.15999999999997,Normal
E019,dev_clip_01.mp4,493.76,498.31,Normal
E020,dev_clip_01.mp4,63.1,68.28,Suspicious
E021,dev_clip_01.mp4,45.61,46.75,Normal
E022,dev_clip_01.mp4,287.05,293.6,Normal
E023,dev_clip_01.mp4,248.69,252.42,Normal
E024,dev_clip_01.mp4,354.75,358.38,Normal
E025,dev_clip_01.mp4,495.49,499.92,Suspicious
E026,dev_clip_01.mp4,26.09,30.189999999999998,Suspicious
E027,dev_clip_01.mp4,298.37,298.99,Suspicious
E028,dev_clip_01.mp4,181.66,188.17,Normal
E029,dev_clip_01.mp4,172.26,179.34,Suspicious
E030,dev_clip_01.mp4,4.09,5.4,Normal
E031,dev_clip_01.mp4,305.04,306.98,Normal
E032,dev_clip_01.mp4,453.97,455.14000000000004,Normal
E033,dev_clip_01.mp4,444.63,446.14,Suspicious
E034,dev_clip_01.mp4,408.23,414.32,Normal
E035,dev_clip_01.mp4,201.13,203.39,Suspicious
E036,dev_clip_01.mp4,277.93,278.78000000000003,Normal
E037,dev_clip_01.mp4,128.66,135.32,Normal
E038,dev_clip_01.mp4,249.93,253.68,Normal
E039,dev_clip_01.mp4,338.52,343.07,Normal
E040,dev_clip_01.mp4,296.9,298.87,Normal
E041,dev_clip_01.mp4,227.67,229.72,Suspicious
E042,dev_clip_01.mp4,211.52,215.67000000000002,Normal
E043,dev_clip_01.mp4,492.74,498.33,Normal
E044,dev_clip_01.mp4,34.21,38.93,Normal
E045,dev_clip_01.mp4,120.54,125.83000000000001,Normal
E046,dev_clip_01.mp4,487.16,488.83000000000004,Normal
E047,dev_clip_01.mp4,114.2,118.52000000000001,Normal
E048,dev_clip_01.mp4,369.79,372.11,Normal
E049,dev_clip_01.mp4,45.21,51.77,Normal
E050,dev_clip_01.mp4,458.71,459.77,Normal
E051,dev_clip_01.mp4,486.99,488.24,Normal
E052,dev_clip_01.mp4,487.93,493.92,Normal
E053,dev_clip_01.mp4,223.31,225.8,Normal
E054,dev_clip_01.mp4,235.47,242.68,Normal
E055,dev_clip_01.mp4,191.52,195.66,Normal
E056,dev_clip_01.mp4,352.32,354.87,Normal
E057,dev_clip_01.mp4,340.38,346.29,Normal
E058,dev_clip_01.mp4,380.6,382.36,Normal
E059,dev_clip_01.mp4,61.58,67.41,Normal
E060,dev_clip_01.mp4,248.18,250.24,Normal
E061,dev_clip_01.mp4,485.07,485.95,Suspicious
E062,dev_clip_01.mp4,386.07,389.95,Normal
E063,dev_clip_01.mp4,430.35,436.19,Normal
E064,dev_clip_01.mp4,268.52,269.71,Suspicious
E065,dev_clip_01.mp4,2.51,7.4799999999999995,Suspicious
E066,dev_clip_01.mp4,36.57,42.11,Normal
E067,dev_clip_01.mp4,417.44,419.91,Normal
E068,dev_clip_01.mp4,433.65,435.42999999999995,Normal
E069,dev_clip_01.mp4,373.91,377.76000000000005,Normal
E070,dev_clip_01.mp4,143.0,143.75,Normal
E071,dev_clip_01.mp4,185.6,188.47,Normal
E072,dev_clip_01.mp4,177.55,183.10000000000002,Suspicious
E073,dev_clip_01.mp4,430.18,433.12,Normal
E074,dev_clip_01.mp4,24.82,29.33,Normal
E075,dev_clip_01.mp4,236.41,242.02,Suspicious
E076,dev_clip_01.mp4,179.08,180.59,Normal
E077,dev_clip_01.mp4,411.82,414.31,Normal
E078,dev_clip_01.mp4,441.41,443.16,Normal
E079,dev_clip_01.mp4,262.19,265.08,Normal
E080,dev_clip_01.mp4,434.38,441.03,Suspicious
