epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0505,3.44865,15.5959,1.29362,0.00018,0.66667,0.00036,0.00014,1.17739,54.6474,0.52122,0.000549352,0.000549352,0.000549352
2,71.2412,3.1843,9.4342,1.21308,0.01527,0.25,0.0246,0.00295,1.49597,27.8122,0.58941,0.00107767,0.00107767,0.00107767
3,117.325,3.16906,7.43539,1.16384,0.53865,0.33333,0.28317,0.10006,1.35755,20.8012,0.56841,0.00157848,0.00157848,0.00157848
4,140.66,3.10644,5.87949,1.19802,0.52134,0.33333,0.41494,0.2344,1.34954,16.4429,0.59896,0.00154323,0.00154323,0.00154323
5,156.104,3.05487,5.32865,1.12059,0.57032,0.58333,0.52235,0.17187,1.30916,15.2515,0.5618,0.00150197,0.00150197,0.00150197
6,171.092,2.9641,4.08807,1.10765,0.41356,0.82183,0.66811,0.27494,1.14128,9.6836,0.54378,0.00146071,0.00146071,0.00146071
7,185.796,2.84995,3.22634,1.11054,0.39728,0.5,0.45021,0.27847,1.05977,8.62977,0.51745,0.00141945,0.00141945,0.00141945
8,202.035,2.90423,2.93935,1.12474,0.61798,0.41667,0.54875,0.18933,1.15832,6.26669,0.49454,0.00137819,0.00137819,0.00137819
9,217.068,2.84301,2.67056,1.11741,0.39137,0.5,0.48064,0.25126,0.99588,5.29868,0.45603,0.00133693,0.00133693,0.00133693
10,232.624,2.87199,2.46985,1.11967,0.0069,0.83333,0.00679,0.00205,1.11444,427.361,0.5052,0.00129568,0.00129568,0.00129568
11,248.807,2.76445,2.23691,1.07483,0.35817,0.83333,0.47317,0.16951,1.07271,3.66234,0.48097,0.00125442,0.00125442,0.00125442
12,264.194,2.66645,2.02924,1.06387,0.65854,0.58333,0.64604,0.17647,1.24215,3.33595,0.54725,0.00121316,0.00121316,0.00121316
13,280.318,2.72961,1.82765,1.10332,0.63432,0.75,0.75752,0.25092,1.04774,2.98778,0.47132,0.0011719,0.0011719,0.0011719
14,294.476,2.76413,1.75684,1.05495,0.3765,0.58333,0.46865,0.19886,1.11195,2.64819,0.50865,0.00113064,0.00113064,0.00113064
15,310.713,2.60796,1.72084,1.0453,0.38449,0.83333,0.41863,0.13782,1.21202,2.72962,0.54356,0.00108938,0.00108938,0.00108938
16,325.968,2.73406,1.88481,1.04617,0.69398,0.83333,0.76185,0.25906,1.02422,2.4389,0.46511,0.00104813,0.00104813,0.00104813
17,340.323,2.53322,1.54571,1.0321,0.63899,0.65932,0.64964,0.25289,0.98877,1.97434,0.46212,0.00100687,0.00100687,0.00100687
