frame_index,x1,y1,x2,y2
24,288,44,319,71
25,288,43,319,71
26,288,43,319,71
27,287,45,319,71
28,287,44,319,71
32,0,55,21,99
33,287,44,319,72
33,0,51,24,99
34,286,43,311,72
34,0,44,27,99
35,0,39,29,99
35,286,44,319,72
36,0,32,32,133
36,285,44,311,74
37,0,29,35,121
37,285,44,311,75
38,0,26,38,121
38,284,43,311,73
39,0,5,41,133
39,284,43,311,73
39,0,134,19,186
40,0,3,44,134
40,283,43,311,73
40,0,135,21,187
41,282,43,311,73
42,0,2,50,133
42,282,43,311,73
42,0,134,24,186
43,0,2,53,130
43,282,42,311,73
43,0,134,30,188
44,0,2,56,188
44,281,41,311,75
45,0,2,59,189
45,281,41,311,74
46,0,1,62,189
46,281,41,311,74
47,0,1,66,189
47,281,41,311,75
48,0,0,69,189
48,280,42,311,74
48,47,125,72,154
49,0,0,73,189
49,280,42,311,75
50,0,0,76,178
50,279,42,311,75
51,0,0,80,189
51,279,43,311,75
52,1,0,83,189
52,279,43,311,74
53,3,0,87,180
53,278,43,311,75
54,6,0,90,190
54,277,43,311,75
55,9,0,94,190
55,277,43,311,75
56,14,0,98,180
56,277,42,311,75
57,17,0,101,179
57,277,42,311,75
58,20,0,105,191
58,276,42,311,75
59,25,0,109,180
59,276,41,311,75
60,28,0,113,180
60,275,41,311,75
61,32,0,116,180
61,275,41,311,75
62,35,0,120,181
62,275,41,311,75
63,39,0,120,184
63,275,41,311,75
64,43,0,129,182
64,275,42,311,75
65,46,0,129,184
65,275,42,311,75
66,50,0,133,182
66,275,42,311,75
67,53,0,141,185
67,275,43,311,75
67,0,115,18,166
68,58,0,145,185
68,274,43,311,75
68,0,72,21,109
68,0,116,20,166
69,61,0,148,185
69,274,43,310,76
70,64,0,152,178
70,274,43,310,76
70,0,60,27,166
71,69,7,157,177
71,274,43,310,76
71,0,52,29,165
72,73,6,161,177
72,274,43,310,76
72,0,45,32,165
73,77,2,181,177
73,0,41,35,165
73,274,43,310,75
74,80,5,186,177
74,0,23,38,165
74,274,42,310,75
75,83,0,173,177
75,0,22,43,165
75,273,42,310,75
76,88,0,193,177
76,0,21,44,166
76,273,42,310,76
77,92,0,199,178
77,0,21,47,167
77,273,42,310,76
78,95,7,203,178
78,0,20,51,165
78,273,42,310,76
79,99,8,208,178
79,0,20,54,165
79,273,42,310,76
80,102,7,212,178
80,0,20,57,166
80,273,42,310,76
81,106,7,202,178
81,0,19,72,167
81,273,42,309,76
82,111,4,205,178
82,0,19,73,171
82,273,43,309,76
83,115,3,210,178
83,0,19,73,169
83,273,43,309,76
83,180,126,211,169
84,119,3,213,178
84,0,18,73,169
84,273,37,309,76
85,121,7,217,179
85,0,19,74,170
85,273,37,309,76
86,126,6,223,179
86,0,19,76,169
86,273,37,309,76
87,124,5,226,179
87,1,19,79,170
87,273,37,309,76
88,132,0,229,179
88,3,18,81,170
88,273,37,309,76
89,138,0,234,190
89,7,18,84,170
89,273,37,310,76
90,141,0,238,180
90,10,18,87,170
90,273,40,310,76
91,144,0,241,190
91,13,17,91,170
91,273,42,310,76
92,148,0,244,190
92,16,16,94,159
92,273,41,310,76
93,152,0,247,190
93,19,31,97,159
93,273,42,310,76
94,154,0,250,190
94,21,31,100,160
94,273,42,309,76
95,158,0,253,191
95,24,31,103,170
95,273,42,310,76
96,161,0,256,190
96,27,31,106,170
96,273,43,309,76
97,165,0,258,192
97,30,17,110,170
97,273,43,309,76
98,168,0,250,191
98,34,16,113,170
98,273,43,309,76
99,171,0,254,191
99,36,16,116,170
99,273,42,309,76
100,174,0,265,191
100,40,16,118,164
100,273,43,309,76
101,178,0,268,192
101,42,16,122,170
101,273,36,309,76
102,180,0,271,135
102,46,15,125,170
102,273,36,309,76
102,204,137,239,191
103,183,0,273,179
103,47,15,128,171
103,273,36,310,76
104,186,0,310,181
104,50,15,132,171
105,187,0,310,183
105,54,15,135,180
106,190,0,310,186
106,58,29,144,180
107,192,0,310,189
107,60,31,145,180
108,194,0,310,191
108,64,32,150,180
109,198,0,309,193
109,67,32,147,171
110,198,0,309,195
110,70,31,150,181
111,199,0,309,197
111,73,24,154,181
112,199,0,309,199
112,76,31,157,181
113,204,0,309,200
113,79,19,160,182
114,207,0,310,201
114,83,21,163,182
115,209,0,310,202
115,86,21,166,182
116,210,0,310,190
116,88,16,169,183
117,212,0,310,203
117,91,15,173,183
118,213,0,310,191
118,94,15,176,183
119,215,0,310,192
119,98,15,184,184
120,217,0,311,199
120,101,15,183,184
121,218,0,311,200
121,105,23,186,184
122,219,0,311,200
122,108,21,189,184
123,220,0,311,200
123,110,17,192,185
124,221,0,311,199
124,113,13,196,185
125,221,0,311,198
125,117,17,199,185
126,222,0,311,199
126,120,13,203,185
127,222,0,311,199
127,123,16,206,185
128,223,0,311,202
128,126,15,210,185
129,223,0,310,203
129,130,13,213,186
130,223,0,310,202
130,132,12,216,186
131,224,0,311,198
131,136,12,220,186
132,224,0,311,201
132,139,12,224,186
133,225,0,311,203
133,142,12,227,186
134,146,0,311,205
135,149,0,311,208
136,152,0,311,225
137,156,0,311,229
138,159,0,311,230
139,162,0,310,232
140,165,0,310,214
141,169,0,311,214
142,171,0,312,213
143,175,0,313,212
144,178,0,313,211
145,181,0,314,209
146,185,0,315,212
147,188,0,315,213
148,191,0,316,204
148,210,131,244,163
149,195,0,317,201
150,198,0,317,213
151,201,0,318,206
152,204,0,319,210
153,208,0,319,213
154,211,0,319,216
155,214,0,319,218
156,218,0,319,220
157,220,0,319,222
158,224,0,319,209
159,227,0,319,210
160,231,0,319,210
161,234,0,319,209
162,235,0,319,223
163,236,0,319,224
164,236,0,319,223
165,238,0,319,216
166,239,0,319,216
167,240,0,319,217
168,241,0,319,207
169,242,0,319,219
170,243,0,319,219
171,246,0,319,221
172,247,0,319,231
173,248,0,319,234
174,250,0,319,232
175,251,0,319,239
176,252,0,319,236
177,254,0,319,237
178,256,0,319,239
179,259,0,319,237
180,260,0,319,239
189,0,105,31,145
190,0,106,31,145
191,0,106,30,145
192,0,106,31,145
193,0,106,30,145
194,0,106,31,145
195,0,105,31,145
196,280,0,319,121
196,0,106,31,145
197,281,0,319,122
197,0,105,31,145
198,282,0,319,122
198,0,105,31,145
199,284,0,319,122
199,0,105,32,145
200,285,0,319,120
200,0,105,32,146
201,288,0,319,112
201,0,105,31,146
202,289,0,319,105
202,0,105,31,146
203,292,0,319,102
203,0,105,32,146
204,294,0,319,103
204,0,105,32,146
205,0,105,32,146
206,0,105,32,146
207,0,105,32,146
208,0,105,33,146
209,0,105,32,146
210,0,105,33,146
211,0,105,33,146
212,0,105,32,146
213,0,105,33,146
214,0,105,33,146
215,304,54,319,111
215,0,105,33,146
216,304,54,319,110
216,0,105,33,146
217,305,56,319,110
217,0,105,33,146
218,306,57,319,109
218,0,105,27,145
219,0,105,27,146
220,0,105,27,146
221,0,110,34,146
222,0,111,34,146
223,0,111,34,146
224,0,96,34,146
225,0,92,34,147
226,0,88,34,146
226,286,207,319,233
227,0,84,34,146
227,286,207,319,234
228,0,81,34,147
228,279,206,319,235
229,0,78,34,147
229,290,207,319,235
230,0,73,34,147
230,290,207,319,235
231,0,64,34,147
231,290,207,319,235
232,0,60,34,147
233,0,59,34,147
234,0,58,34,148
239,0,31,34,149
240,0,31,34,148
241,0,32,34,149
241,0,150,28,178
244,0,34,38,179
245,0,34,40,179
246,0,35,40,180
247,0,34,40,180
248,0,34,41,180
249,0,33,43,180
250,0,33,44,179
251,0,32,46,179
252,0,31,50,178
253,0,32,55,178
253,181,202,212,225
254,0,30,59,176
255,0,32,62,174
256,0,31,66,179
257,0,33,69,179
258,0,33,71,178
259,0,33,73,180
260,0,37,75,180
261,0,38,77,180
262,0,38,79,181
262,188,200,223,227
263,0,37,80,180
263,177,201,218,226
264,0,37,80,179
264,187,200,218,227
265,0,37,80,181
265,187,200,217,227
266,0,36,80,180
266,187,200,217,227
267,0,35,79,180
267,187,200,222,227
268,0,34,78,180
269,0,34,77,180
269,177,201,223,227
270,29,33,79,179
270,0,104,35,149
270,175,200,223,227
271,30,34,81,181
271,0,104,35,149
271,175,200,223,227
272,33,35,83,181
272,0,104,35,149
273,35,35,88,179
273,0,104,35,149
273,177,200,224,227
274,36,36,92,180
274,0,104,35,149
274,177,200,222,227
275,39,36,94,180
275,0,104,35,149
276,41,35,95,179
276,0,104,35,149
277,40,30,96,180
277,0,104,35,149
278,41,30,96,180
278,0,104,35,149
279,43,29,97,180
279,0,104,35,149
280,46,28,98,181
280,0,104,35,149
281,47,27,99,181
281,0,104,35,149
282,50,26,103,180
282,0,104,35,149
283,55,25,108,181
283,0,104,35,149
284,58,24,112,181
284,0,104,35,149
285,59,24,116,176
285,0,104,35,149
286,61,24,120,177
286,0,104,35,149
287,61,26,124,180
287,0,104,35,149
287,186,200,230,228
288,63,33,127,181
288,0,104,35,149
288,186,200,228,227
289,66,35,130,181
289,0,104,35,149
290,67,37,132,184
290,0,104,35,149
290,261,201,319,239
291,69,37,135,181
291,0,104,35,149
291,261,201,319,239
292,72,38,137,181
292,0,104,35,150
292,262,202,319,239
293,74,38,138,181
293,0,104,35,149
293,262,202,319,239
294,76,38,138,182
294,0,104,35,149
294,262,202,319,239
295,79,37,140,182
295,0,104,35,149
295,262,202,319,239
296,82,37,140,182
296,0,104,35,150
296,273,202,319,239
297,84,49,140,182
297,0,104,36,150
297,273,202,319,239
298,86,48,140,182
298,0,104,36,150
298,273,202,319,239
299,87,48,138,180
299,0,104,36,150
299,273,202,319,239
300,90,47,138,181
300,0,103,36,150
300,273,202,319,239
301,91,49,142,181
301,0,103,36,150
301,273,202,313,238
302,92,49,145,181
302,0,103,36,150
302,273,202,312,238
303,94,50,147,180
303,0,104,36,149
303,273,202,312,238
304,98,54,153,181
304,0,104,36,150
304,273,202,312,238
305,100,32,158,181
305,0,103,36,150
305,190,201,229,228
305,274,202,312,238
306,101,31,160,180
306,0,103,36,150
306,190,200,230,228
306,274,202,312,238
307,101,31,161,181
307,0,103,36,150
307,191,200,231,228
307,274,202,312,238
308,101,32,161,181
308,0,103,36,150
308,190,200,230,228
308,274,202,312,238
309,103,35,162,180
309,0,103,36,150
309,190,200,231,228
309,274,202,312,238
310,104,36,164,181
310,0,104,36,150
310,190,200,230,228
310,274,202,312,238
311,108,41,164,182
311,0,104,36,150
311,191,200,231,228
311,274,202,312,237
312,112,39,164,182
312,0,103,36,150
312,191,200,231,228
312,274,202,312,237
313,118,25,166,181
313,0,103,36,150
313,91,187,120,211
313,191,200,231,228
313,276,202,312,238
314,121,24,169,181
314,0,103,36,150
314,191,200,231,228
314,276,202,312,237
315,122,23,177,181
315,0,104,36,150
315,91,187,120,211
315,191,200,231,228
315,276,202,312,237
316,123,23,176,178
316,0,106,36,150
316,91,187,121,210
316,191,200,231,228
316,276,202,312,237
317,127,23,181,180
317,0,106,36,150
317,91,187,121,210
317,192,200,231,228
318,128,24,192,181
318,0,106,36,150
318,192,200,231,228
319,129,25,196,180
319,0,106,36,150
319,89,187,119,211
319,192,200,230,228
320,134,26,203,181
320,0,106,36,150
320,192,200,231,228
321,136,26,203,180
321,0,106,36,150
321,90,187,121,211
321,195,200,231,227
322,137,28,203,182
322,0,106,36,150
322,91,187,121,211
322,195,200,231,227
323,140,28,206,183
323,0,106,36,150
323,89,187,121,211
323,195,200,231,227
324,140,30,208,184
324,0,106,36,150
324,90,187,123,211
324,195,200,231,228
325,142,29,209,184
325,0,106,36,150
325,90,187,119,211
325,195,200,230,228
326,147,28,209,184
326,0,106,36,150
326,89,187,123,211
326,195,201,230,228
327,148,29,209,185
327,0,106,36,150
327,90,187,123,211
327,195,201,229,228
328,152,29,209,184
328,0,106,36,150
328,90,187,122,211
328,195,201,229,227
329,152,27,208,184
329,0,106,36,150
329,90,187,123,211
329,195,201,229,227
330,155,28,209,184
330,0,106,36,150
330,91,187,123,211
330,196,201,229,227
331,158,26,209,185
331,0,108,36,150
331,82,187,123,211
331,196,201,229,228
332,160,27,212,184
332,0,108,26,150
332,92,187,123,211
333,162,29,214,185
333,0,108,26,150
333,92,187,124,211
334,164,29,219,185
334,0,114,23,150
334,82,187,123,211
334,196,201,229,228
335,166,31,223,184
335,0,114,23,150
335,89,187,124,211
336,167,31,227,184
336,0,114,21,150
336,89,187,123,211
337,168,30,228,184
337,0,114,23,150
337,82,187,123,211
338,169,32,230,186
338,0,114,23,150
338,82,187,123,211
339,168,31,230,186
339,0,114,21,150
339,95,187,124,211
340,172,30,230,187
340,0,114,21,150
340,82,187,124,211
341,173,29,231,186
341,0,114,23,150
341,82,187,124,211
342,179,30,234,186
342,0,114,23,150
343,183,30,239,186
343,0,114,23,150
344,186,29,244,186
344,0,114,23,150
344,86,187,123,211
345,187,28,245,186
345,0,114,23,150
345,83,187,123,211
346,189,29,247,184
346,0,115,22,150
346,88,187,124,211
347,192,21,240,184
347,83,187,123,211
348,193,20,242,186
348,88,187,124,211
349,198,21,246,187
350,187,22,253,186
351,187,23,257,186
351,87,187,123,211
352,187,23,259,187
353,207,24,260,189
354,207,24,261,189
354,83,187,125,211
355,210,23,261,190
355,83,187,124,211
356,213,22,262,189
357,218,21,262,94
357,218,93,264,190
358,230,20,264,65
358,220,67,268,189
359,223,19,271,189
360,230,18,274,190
360,83,187,124,211
361,238,18,270,64
361,227,65,277,190
362,239,20,272,63
362,230,64,281,190
363,241,26,275,67
363,235,64,285,189
364,235,26,289,189
364,86,188,123,211
365,236,26,294,189
366,236,27,299,189
367,236,25,301,188
368,239,25,303,189
368,85,188,125,211
369,239,25,303,190
370,239,23,304,190
371,241,24,305,190
372,246,24,306,190
373,251,23,309,190
374,258,22,314,190
375,262,21,319,190
376,264,22,319,188
377,267,22,319,186
378,270,21,319,190
379,272,21,319,190
380,274,20,319,190
381,276,21,319,190
465,267,210,319,239
467,266,209,319,239
468,190,200,226,226
468,264,207,319,239
469,190,202,223,226
470,190,202,223,226
471,190,202,224,227
472,185,202,224,228
473,185,202,224,227
474,185,201,225,227
475,185,200,227,228
476,185,200,227,228
477,23,194,49,223
477,188,200,227,228
478,23,194,49,223
478,183,200,227,228
479,22,194,51,223
479,183,199,231,228
480,22,194,51,223
480,183,200,228,228
481,22,194,50,223
