frame_index,x1,y1,x2,y2
1,0,0,719,476
1,6,248,387,479
1,392,256,424,290
1,578,341,617,378
1,523,382,576,424
1,590,457,620,479
2,548,8,582,38
2,589,20,618,46
2,120,105,222,306
2,496,166,537,192
2,411,179,531,260
2,339,204,410,250
2,233,231,264,262
2,201,262,380,389
2,401,269,441,310
2,613,335,675,392
2,481,351,513,384
2,228,387,335,479
2,628,387,719,473
2,554,423,604,475
2,398,442,435,479
3,664,147,705,172
3,27,160,58,199
3,645,225,691,255
3,74,252,116,312
3,484,253,513,282
3,194,263,383,479
3,648,336,676,366
3,625,372,719,461
4,343,144,527,250
4,660,224,693,253
4,255,263,387,391
4,209,288,259,362
4,189,357,220,388
4,624,370,713,422
4,227,402,345,479
4,681,414,719,466
5,382,158,418,191
5,253,189,282,214
5,259,260,314,333
5,226,302,263,332
5,305,317,388,385
5,188,358,218,383
5,659,384,704,422
5,212,398,344,479
5,692,426,719,465
6,348,134,459,197
6,664,145,706,171
6,648,224,692,256
6,189,263,390,415
6,648,334,677,366
6,622,372,719,461
6,225,401,349,479
7,354,137,459,198
7,649,223,694,273
7,190,262,393,479
7,665,309,719,364
7,648,335,678,366
7,618,370,719,461
7,211,388,239,416
8,385,162,419,196
8,435,186,480,235
8,643,191,688,216
8,456,235,491,260
8,228,236,254,269
8,493,236,527,263
8,190,272,393,479
8,647,365,704,423
9,21,147,52,185
9,647,224,694,271
9,226,249,260,274
9,193,263,399,479
9,648,334,678,365
9,675,414,719,464
10,343,133,500,235
10,647,224,691,253
10,482,249,511,277
10,189,262,402,479
10,648,336,676,362
10,631,371,713,418
10,675,414,719,469
11,643,192,673,217
11,190,262,403,479
11,657,384,704,424
12,660,225,692,252
12,190,261,409,479
12,680,427,719,456
13,248,183,280,206
13,646,225,691,257
13,189,252,413,479
13,483,253,513,282
13,107,315,134,346
13,648,336,676,369
13,611,371,719,471
14,503,0,719,141
14,394,171,459,209
14,58,175,92,198
14,248,189,282,214
14,642,189,688,216
14,359,209,409,239
14,190,263,416,479
14,691,424,719,465
15,24,155,51,183
15,452,194,499,223
15,644,225,688,250
15,202,261,423,479
15,655,370,694,410
15,617,375,654,404
15,675,429,718,458
16,345,0,407,39
16,339,127,529,251
16,645,225,691,254
16,582,248,613,277
16,190,263,430,479
16,648,336,675,365
16,613,371,712,432
16,150,397,195,462
16,676,429,719,460
17,450,193,498,221
17,644,225,688,250
17,190,262,435,479
17,656,373,710,431
17,610,375,654,404
17,675,427,719,457
18,360,0,402,25
18,391,90,430,115
18,56,103,230,304
18,376,151,422,193
18,428,181,531,262
18,252,188,282,214
18,202,258,440,479
18,646,262,671,308
18,609,359,709,421
18,674,420,719,468
19,0,0,719,479
19,648,227,693,280
19,188,255,451,479
19,614,371,719,472
19,523,382,555,419
20,393,154,439,199
20,189,261,452,479
21,606,0,711,169
21,425,48,488,115
21,469,54,506,89
21,66,108,215,309
21,323,110,366,134
21,472,170,514,197
21,434,187,480,233
21,640,188,686,237
21,251,190,281,213
21,360,209,408,239
21,202,259,455,479
21,647,259,671,294
21,651,357,675,388
21,658,395,704,421
21,692,424,719,465
22,24,155,58,199
22,434,165,458,194
22,645,225,692,254
22,579,247,645,302
22,190,263,463,479
22,645,296,684,331
22,648,337,675,366
22,613,372,719,467
23,360,142,439,198
23,187,261,467,479
23,656,389,687,424
24,372,144,433,216
24,642,192,672,217
24,436,193,478,234
24,187,260,437,479
24,647,270,671,314
24,439,326,471,356
24,652,368,692,394
24,657,391,704,423
25,643,191,687,217
25,438,205,479,234
25,191,259,431,479
25,445,333,477,366
26,339,127,530,253
26,26,158,58,199
26,644,224,690,255
26,484,253,512,281
26,190,262,424,479
26,117,335,155,386
26,648,337,675,366
26,452,352,483,382
26,624,371,719,468
26,147,393,210,479
27,21,148,59,200
27,440,177,494,233
27,640,201,666,247
27,190,261,412,479
27,123,347,155,386
27,455,360,488,390
27,649,371,693,423
27,609,377,642,402
27,144,386,171,418
27,159,415,210,479
27,683,427,715,453
28,26,158,58,198
28,441,194,480,233
28,190,261,449,479
28,462,372,493,405
28,659,392,703,422
29,559,0,585,25
29,341,134,444,228
29,451,194,528,250
29,644,224,688,251
29,189,262,464,479
29,494,364,530,397
29,651,370,716,457
29,610,379,645,403
30,372,151,423,196
30,625,191,686,263
30,437,206,479,234
30,186,260,480,479
30,520,265,553,304
30,658,389,704,423
31,360,141,442,220
31,440,194,525,276
31,643,224,687,249
31,189,261,477,479
31,653,369,719,465
31,609,378,645,402
32,363,142,399,176
32,433,186,479,235
32,641,190,687,237
32,426,248,456,277
32,187,258,439,479
32,624,370,650,404
32,657,395,704,423
33,375,140,457,197
