frame_index,x1,y1,x2,y2
0,313,218,351,239
7,277,0,301,27
8,276,0,300,27
9,275,0,300,28
10,274,0,300,29
11,274,0,300,28
11,133,174,167,211
12,0,0,43,28
12,272,0,298,31
12,154,8,194,36
12,107,133,140,162
12,133,172,168,200
12,0,174,30,200
12,243,181,319,224
13,272,0,299,33
14,271,0,298,28
15,270,0,297,27
15,158,9,199,38
15,270,54,311,79
15,0,96,37,129
15,63,122,110,153
15,0,174,30,202
16,132,173,167,212
17,268,0,295,27
17,161,11,199,39
17,271,54,309,78
17,0,97,38,129
17,0,174,30,202
18,269,0,295,25
18,168,12,200,38
18,132,173,167,211
19,86,166,167,215
20,267,0,293,26
20,162,11,213,56
20,0,174,30,204
22,264,0,290,28
22,307,37,351,70
22,0,95,56,136
22,0,173,31,204
22,36,185,83,226
22,201,202,238,230
22,90,204,136,233
23,131,172,167,212
24,263,0,290,28
24,271,54,306,78
24,130,173,168,217
24,0,174,30,202
25,263,0,290,29
25,0,174,30,200
25,130,174,169,217
26,262,0,288,28
26,131,173,167,212
27,165,11,199,38
27,271,53,303,78
28,159,49,221,84
28,71,124,104,149
28,128,172,168,216
29,130,173,167,212
30,259,0,287,27
30,269,54,309,79
30,0,173,30,204
33,84,16,124,45
33,13,102,55,129
33,57,121,110,153
33,128,142,204,210
33,0,174,30,204
35,129,173,167,215
36,0,0,40,25
36,255,0,283,25
36,14,101,46,129
36,62,122,103,150
36,117,138,159,170
36,129,171,168,209
36,0,174,30,200
36,227,174,275,208
37,89,166,124,193
39,253,0,280,25
39,272,55,309,78
39,129,172,168,212
39,0,174,30,202
40,322,67,346,109
40,129,173,167,212
41,162,50,205,79
41,317,69,351,127
41,277,85,313,112
41,128,172,168,212
41,281,194,330,226
42,159,49,205,79
42,283,87,313,112
42,167,156,200,182
42,128,171,169,211
42,245,182,288,213
43,130,174,167,213
44,317,69,351,126
44,129,172,168,215
45,234,72,264,97
45,129,171,168,215
46,316,70,343,107
46,130,174,167,212
47,169,52,221,84
47,129,172,168,215
48,129,173,168,215
49,128,171,167,215
50,311,67,351,127
50,129,172,168,215
51,311,67,337,106
51,129,172,169,215
52,308,65,336,104
52,130,172,169,215
