frame_index,x1,y1,x2,y2
0,80,92,104,142
89,89,205,128,231
91,89,206,129,232
92,89,206,131,232
93,89,206,131,232
94,89,206,131,231
96,89,206,131,232
102,30,196,64,219
106,28,196,82,228
106,85,205,130,233
252,17,205,55,232
252,63,216,106,239
261,26,210,71,239
459,105,189,140,214
466,106,190,139,215
468,107,191,139,217
471,104,191,140,217
473,106,191,138,216
474,104,191,140,218
475,104,190,146,219
476,104,190,144,219
477,106,190,148,217
478,106,191,147,217
479,110,190,147,219
480,104,190,147,220
481,105,192,148,220
482,105,192,143,220
483,104,190,147,220
484,106,192,148,220
486,105,191,147,220
487,106,192,147,220
488,104,191,147,219
494,98,192,145,222
544,85,195,120,219
544,122,196,156,225
548,119,196,156,225
549,119,195,156,225
550,119,196,156,225
551,119,195,155,225
552,119,195,156,225
553,119,198,155,225
554,119,195,156,225
555,119,197,156,225
556,119,198,156,225
557,119,197,155,225
558,119,198,156,225
559,119,198,156,225
560,123,197,155,225
561,123,197,156,225
562,123,198,156,225
563,123,198,156,226
564,123,198,156,225
565,123,197,156,226
566,123,200,155,225
567,123,201,154,226
568,123,200,155,226
569,123,200,155,226
571,123,200,155,226
572,123,199,156,226
593,87,203,126,228
594,87,204,121,228
595,86,204,126,228
596,87,203,123,228
597,87,204,130,229
598,87,204,130,228
1133,0,92,27,160
1134,0,87,32,159
1135,0,85,36,159
1136,0,84,40,170
1140,0,36,51,239
1141,0,35,54,239
1142,0,34,58,239
1143,0,33,63,239
1144,0,33,68,239
1145,0,61,73,239
1146,0,39,75,239
1147,0,37,78,239
1148,0,37,81,239
1149,0,36,84,239
1150,0,37,87,239
1151,0,39,89,239
1152,0,40,97,239
1153,0,42,101,239
1154,0,43,102,239
1155,2,43,104,239
1156,6,45,108,239
1157,9,44,111,239
1158,16,44,114,239
1159,23,42,117,239
1160,33,41,118,239
1161,35,40,118,239
1162,37,39,123,239
1163,37,39,119,239
1164,38,39,132,239
1165,38,40,133,239
1166,161,10,193,48
1166,39,41,134,239
1167,40,43,133,239
1168,42,44,139,239
1169,44,45,141,239
1170,47,46,142,239
1171,50,46,143,239
1172,54,69,144,239
1172,281,184,320,208
1173,57,68,145,239
1173,278,184,312,211
1174,61,55,146,239
1175,48,54,146,239
1176,165,10,192,39
1176,45,51,147,239
1177,44,49,148,239
1178,43,48,149,239
1179,44,48,150,239
1180,165,10,192,38
1180,45,48,151,239
1181,44,52,152,239
1182,44,57,153,239
1183,161,10,192,49
1183,43,58,154,239
1184,159,9,225,66
1184,42,54,155,239
1184,223,139,257,168
1185,164,8,203,39
1185,41,52,156,239
1185,248,88,271,119
1185,229,126,276,166
1185,285,184,324,216
1186,160,8,228,67
1186,35,52,158,239
1186,223,79,272,136
1186,215,139,257,169
1186,282,184,314,214
1187,158,0,229,67
1187,36,52,159,239
1187,215,73,276,170
1188,158,0,233,67
1188,35,53,161,239
1188,215,73,276,170
1188,287,183,336,215
1189,157,0,233,67
1189,34,52,162,239
1189,215,73,272,170
1190,155,0,233,67
1190,37,52,164,239
1190,280,58,312,89
1190,215,73,287,183
1190,53,146,88,181
1191,157,0,233,67
1191,36,51,165,239
1191,286,60,330,88
1191,215,65,282,169
1191,302,129,326,161
1191,54,140,89,183
1192,155,0,235,67
1192,37,51,170,239
1192,215,56,287,183
1192,279,59,312,89
1192,53,140,94,198
1193,183,55,351,217
1193,53,129,96,201
1194,107,0,238,205
1194,213,56,351,217
1194,184,117,214,141
1194,54,131,96,200
1195,107,0,237,205
1195,185,56,346,217
1195,54,120,104,200
1196,54,0,238,208
1196,184,55,351,218
1196,201,70,230,97
1197,106,0,238,206
1197,184,54,351,218
1197,51,118,117,205
1198,106,0,238,205
1198,176,55,351,218
1198,204,70,232,98
1198,53,120,118,206
1198,55,212,104,239
1199,50,0,351,218
1199,83,8,120,80
1199,59,215,96,239
1200,39,0,351,218
1200,83,8,117,81
1200,65,215,97,239
1201,39,0,351,218
1201,82,16,120,50
1202,39,0,351,218
1202,81,9,112,51
1202,92,53,118,93
1202,34,106,62,133
1203,40,0,351,218
1203,84,9,112,51
1203,34,105,62,133
1204,39,0,351,218
1204,84,9,118,80
1204,33,103,65,134
1205,40,0,351,219
1205,81,9,120,93
1205,30,103,65,139
1206,39,0,351,219
1206,81,0,120,80
1206,33,103,65,135
1207,40,0,351,218
1207,81,9,117,93
1207,30,103,65,137
1208,46,0,351,218
1208,81,0,120,93
1208,30,103,66,141
1209,45,0,351,218
1209,80,7,120,93
1209,30,103,66,141
1210,50,0,351,219
1210,81,0,118,93
1210,30,103,66,141
1211,48,0,351,221
1211,81,0,120,77
1211,30,103,66,143
1212,53,0,351,225
1212,81,0,120,78
1212,30,103,66,143
1213,53,0,351,233
1213,80,0,120,92
1213,30,103,66,143
1214,54,0,351,219
1214,80,6,119,97
1214,30,103,66,142
1215,53,0,351,218
1215,80,11,120,93
1215,30,103,66,147
1216,126,0,351,225
1216,80,6,120,81
1216,30,103,66,147
1216,46,118,92,180
1216,83,161,129,187
1217,80,0,120,81
1217,128,0,351,232
1217,30,102,66,147
1217,43,118,92,185
1218,80,0,120,81
1218,129,0,351,239
1218,29,102,66,149
1218,42,118,92,188
1219,80,0,120,81
1219,130,0,351,237
1219,30,102,66,147
1219,42,118,92,190
1220,80,0,118,81
1220,132,0,351,239
1220,30,103,66,148
1220,43,118,92,189
1221,81,0,119,94
1221,133,0,351,220
1221,30,102,66,145
1221,43,118,92,191
1222,134,0,351,219
1222,81,6,119,81
1222,30,103,66,142
