frame_index,x1,y1,x2,y2
4,185,33,212,61
5,185,33,212,62
8,184,38,214,70
10,182,39,207,79
11,184,56,216,94
12,182,49,215,94
13,182,55,216,100
14,181,64,218,101
14,232,200,260,225
15,180,59,215,103
16,179,27,216,108
17,178,27,216,108
18,178,26,215,103
19,183,27,217,93
20,182,26,216,79
21,182,27,216,79
22,184,26,216,79
23,184,27,216,80
24,179,26,215,98
25,178,26,215,101
26,188,26,214,55
26,177,56,219,102
27,177,26,219,104
28,180,26,218,105
29,183,26,217,101
30,184,26,216,102
31,185,27,219,105
32,185,26,219,102
33,183,26,219,114
34,185,54,218,108
35,185,26,218,105
36,184,26,217,105
37,184,26,218,102
38,184,59,217,102
39,184,29,219,101
40,184,54,219,105
41,184,29,215,105
42,183,47,217,101
43,186,47,218,100
44,184,47,233,114
45,184,55,218,103
46,185,54,237,114
47,185,48,218,113
48,187,48,237,107
49,184,49,219,105
50,184,50,232,108
51,184,56,218,101
52,183,56,218,102
53,186,37,218,96
54,186,28,211,63
54,185,61,218,100
54,193,157,221,189
55,181,63,218,101
55,193,158,222,186
56,181,44,219,102
57,183,46,213,102
58,182,49,213,78
59,182,50,216,79
60,182,53,211,81
60,255,257,290,283
61,181,57,210,84
61,191,158,224,189
62,192,158,222,189
63,179,64,218,98
63,192,157,222,188
63,248,257,280,280
64,188,27,213,60
64,179,69,215,102
64,189,151,219,182
64,247,257,280,280
65,180,72,211,107
65,191,156,224,186
65,247,257,281,280
66,183,78,208,107
66,246,256,281,280
67,194,158,221,188
68,196,159,222,192
69,180,152,223,188
69,246,256,282,281
70,248,257,282,281
71,179,156,227,193
71,247,257,282,281
72,191,162,221,195
72,248,257,282,281
73,192,158,222,194
73,247,257,282,281
74,247,257,276,281
75,180,152,217,192
75,247,257,297,285
76,191,66,217,96
76,247,257,297,285
77,191,65,218,94
77,220,198,257,225
77,247,257,279,287
78,188,27,216,58
78,192,63,218,91
78,222,199,257,225
78,247,257,296,287
79,229,199,256,226
79,247,257,284,287
80,177,153,223,182
80,220,198,256,225
80,247,257,284,287
81,179,153,223,185
81,216,198,256,226
81,247,257,283,282
82,196,164,222,193
82,220,197,256,225
82,247,257,284,282
83,221,196,255,224
83,247,257,284,282
84,216,198,260,225
84,246,257,285,282
85,217,197,260,225
85,246,257,285,282
86,231,199,261,225
86,246,257,285,282
87,230,198,260,225
87,246,257,285,282
87,329,264,358,287
88,245,257,284,282
88,329,264,358,287
89,245,257,283,282
89,329,264,359,287
90,246,257,298,286
90,329,264,360,287
91,188,34,215,79
91,195,158,222,185
91,246,257,284,282
91,328,265,362,287
92,246,257,284,282
92,332,264,362,287
93,246,257,297,286
94,246,257,297,286
95,246,258,298,287
96,184,71,213,102
96,246,258,296,286
97,188,26,212,65
97,246,258,296,287
98,186,26,215,69
98,246,258,297,287
99,186,26,217,93
99,246,258,283,287
100,189,68,214,99
101,186,51,214,104
101,245,258,287,287
102,185,68,215,101
102,246,258,287,287
103,184,66,217,104
103,245,258,288,287
104,183,62,218,102
104,245,258,287,287
105,183,62,217,105
105,245,258,287,287
105,332,265,362,287
106,183,63,218,105
106,244,258,287,283
106,331,265,362,287
107,184,53,218,105
107,244,258,286,283
107,331,265,361,287
108,184,55,218,107
108,350,243,397,282
108,244,258,286,283
108,331,265,360,287
109,185,57,219,106
109,351,243,397,282
109,244,258,286,283
109,330,265,362,287
110,189,58,218,94
110,244,258,286,283
110,327,265,362,287
111,186,66,214,99
111,244,258,286,283
111,331,265,362,287
112,185,68,214,102
112,244,258,286,283
112,332,266,362,287
113,185,69,214,106
113,244,258,286,287
113,333,265,363,287
114,185,68,215,111
114,244,258,286,287
114,334,265,363,287
115,187,70,216,115
115,245,258,286,283
115,326,265,364,287
116,188,27,217,60
116,188,69,215,107
116,245,258,287,287
116,327,265,364,287
117,188,27,217,59
117,180,158,205,188
117,245,258,287,284
117,325,265,364,287
118,178,157,203,191
118,245,258,286,284
118,327,266,364,287
119,178,158,203,197
119,245,258,287,287
120,190,64,218,95
120,244,258,287,284
121,188,46,218,94
121,243,258,287,284
122,185,48,213,99
122,243,258,286,284
123,184,46,215,102
123,231,199,257,226
123,244,258,287,284
123,345,258,397,287
124,184,45,217,104
124,230,199,258,226
124,346,258,398,287
125,188,39,220,80
125,179,160,206,191
125,244,258,288,284
125,347,258,398,287
126,187,39,219,68
126,180,163,207,197
126,244,258,287,284
126,352,258,398,287
127,188,38,215,78
127,180,168,207,202
127,231,199,258,225
127,244,258,286,284
127,355,258,398,287
128,185,26,217,98
128,182,159,216,196
128,243,258,286,284
128,359,258,398,287
129,185,28,215,99
129,244,258,286,284
130,185,27,215,101
130,244,258,286,284
131,243,258,286,285
131,334,265,362,287
132,187,52,215,92
132,244,258,287,285
133,185,55,216,100
133,244,258,287,284
134,185,57,215,100
134,244,258,287,285
135,184,66,215,105
135,244,259,286,285
136,184,68,216,109
136,349,258,397,287
136,244,259,287,285
137,184,66,216,113
137,243,259,285,285
138,184,67,216,108
138,244,259,285,285
139,185,68,215,112
139,244,259,285,285
140,185,67,215,115
140,244,259,285,285
141,186,69,214,107
141,244,259,285,285
142,187,66,217,101
142,244,259,284,285
143,355,258,397,287
143,244,259,283,285
144,244,259,282,285
145,244,260,283,285
146,244,259,283,285
147,244,259,283,285
148,244,259,284,285
149,185,43,218,78
149,244,259,284,285
150,184,37,218,79
150,178,158,219,189
150,244,259,279,285
151,184,36,217,79
151,179,159,216,192
151,256,210,288,234
151,365,257,399,287
151,244,259,279,285
152,184,36,217,81
152,255,209,287,235
152,365,257,399,287
152,243,259,280,285
153,186,35,216,83
153,254,209,286,234
153,365,256,399,287
153,244,259,279,285
154,183,34,216,101
154,254,208,288,234
154,364,257,398,287
154,243,259,279,285
155,183,32,216,102
155,293,187,323,211
155,254,210,286,234
155,364,257,398,287
155,243,258,280,285
156,183,32,216,104
156,290,186,323,211
156,254,209,283,235
156,362,258,398,287
156,244,259,282,285
157,183,45,214,107
157,292,186,325,211
157,364,257,398,287
157,243,258,282,285
158,184,49,211,107
158,292,186,325,211
158,364,257,399,287
158,244,258,282,285
159,185,51,211,97
