frame_index,x1,y1,x2,y2
1,174,17,210,46
1,32,26,58,61
1,328,36,351,84
1,0,57,36,90
1,66,66,95,101
1,47,101,84,131
1,20,147,79,199
1,0,158,20,222
1,103,160,141,190
2,145,0,223,126
2,232,6,265,53
2,275,21,307,69
2,316,38,351,88
3,146,0,197,71
3,195,0,222,37
3,0,15,235,224
3,238,19,262,52
3,279,34,305,69
3,322,40,351,87
3,145,66,192,126
4,0,26,57,84
4,329,33,351,83
4,67,58,94,88
4,53,88,94,157
4,101,120,133,170
4,64,163,109,214
4,148,180,177,204
5,174,4,225,46
5,30,25,57,61
5,329,34,351,84
5,61,47,93,99
5,0,55,33,88
5,47,100,142,195
5,180,157,220,186
5,149,179,180,207
6,144,0,225,127
6,232,2,265,53
6,0,8,199,224
6,275,19,308,69
6,317,35,351,89
7,172,0,226,54
7,242,5,266,49
7,48,11,108,214
7,284,21,309,65
7,0,22,57,85
7,327,32,351,85
7,117,55,195,112
7,101,120,142,171
8,173,0,225,54
8,242,5,266,48
8,49,17,192,214
8,0,20,58,83
8,285,22,309,64
8,328,31,351,87
9,144,0,224,127
9,236,7,265,53
9,278,23,351,88
10,147,0,197,62
10,195,10,223,37
10,236,27,265,53
10,278,33,317,71
10,321,51,351,87
10,145,66,193,127
11,173,0,279,64
11,0,20,59,63
11,281,20,351,98
11,61,48,119,107
11,0,57,53,102
11,175,91,212,117
12,146,0,223,77
12,238,10,264,53
12,0,18,232,224
12,278,23,314,71
12,322,39,351,88
12,145,66,192,126
13,145,0,224,127
13,232,6,264,53
13,0,8,198,224
13,275,21,306,69
13,317,38,351,88
13,285,180,351,225
14,173,0,225,47
14,243,4,267,50
14,30,26,57,61
14,328,34,351,85
14,59,48,93,101
14,0,56,33,90
14,46,100,222,219
15,331,49,351,83
15,1,59,33,88
15,50,103,210,209
16,146,0,196,52
16,0,18,214,223
16,322,60,351,88
16,266,172,349,219
17,0,23,57,81
17,329,33,351,88
17,60,55,94,87
17,53,109,193,208
18,329,34,351,83
18,60,54,94,88
18,0,56,27,84
18,53,111,195,208
19,145,0,222,126
19,233,7,264,53
19,0,8,216,224
19,279,23,306,70
19,316,38,351,86
19,317,192,351,224
20,147,0,225,58
20,0,16,351,223
20,236,27,266,53
20,278,43,351,88
21,172,0,231,48
21,226,5,267,60
21,285,20,309,66
21,5,24,58,62
21,328,35,351,85
21,0,56,32,90
21,61,60,93,100
21,239,176,294,212
22,0,0,351,223
22,236,10,266,53
