frame_index,x1,y1,x2,y2
1,31,0,212,165
2,25,0,212,166
3,19,0,212,167
4,13,0,212,167
5,0,0,212,166
5,83,209,114,239
6,0,0,213,167
6,83,209,115,239
7,0,0,212,167
8,0,0,212,166
9,0,0,212,166
10,0,0,214,165
10,83,209,114,239
11,0,0,212,167
12,0,0,212,167
13,0,0,212,166
14,0,0,211,167
14,0,0,60,46
14,36,135,62,167
14,54,169,83,206
14,0,197,16,239
14,82,208,114,239
15,0,0,55,40
15,33,0,212,166
15,83,209,116,239
16,0,0,211,166
16,54,169,84,206
16,0,197,16,239
16,82,208,114,239
17,0,0,212,168
17,0,0,43,31
17,58,170,83,201
17,0,197,16,239
18,33,0,212,166
19,0,0,37,22
19,33,0,212,167
20,0,0,213,225
20,259,189,292,217
20,0,196,16,239
20,80,206,131,239
21,0,0,212,169
21,58,172,83,202
21,0,197,16,239
21,95,205,132,239
22,0,0,278,174
22,49,166,89,223
22,173,205,208,239
22,79,206,127,239
23,33,0,212,167
24,0,0,213,171
24,231,162,277,191
24,50,167,85,224
24,259,189,292,217
24,0,197,16,239
24,81,206,131,239
25,0,0,212,226
25,0,196,17,239
25,81,207,132,239
26,0,0,212,203
26,0,197,16,239
26,86,202,132,239
27,0,0,212,168
27,200,105,319,239
27,58,170,83,201
27,0,197,16,239
28,0,0,212,172
28,183,64,319,239
28,52,168,84,225
28,0,197,16,239
28,81,208,114,239
29,33,0,212,166
29,171,55,319,239
30,0,0,319,239
30,58,169,83,201
30,0,196,16,239
30,82,209,132,239
31,0,0,319,239
31,50,167,85,224
31,0,196,16,239
31,80,207,131,239
32,0,0,319,239
32,0,197,16,239
32,85,200,132,237
33,0,0,319,239
33,49,165,119,239
33,17,179,46,211
33,0,198,16,239
34,0,0,319,239
34,0,196,17,239
34,81,208,131,239
35,0,0,319,239
35,0,197,17,239
36,0,0,319,208
36,0,197,16,239
36,86,205,132,238
37,0,0,319,195
37,58,174,83,203
37,0,197,16,239
37,86,202,132,239
38,0,0,319,239
38,224,161,290,216
38,293,184,319,210
38,0,196,17,239
38,210,199,279,239
39,58,169,83,201
39,0,196,16,239
39,82,208,132,239
40,0,0,304,239
40,0,137,22,171
40,209,161,301,239
40,292,172,319,210
40,258,187,291,216
41,0,0,319,239
41,281,77,319,124
41,0,173,49,239
42,0,0,319,239
43,0,0,319,239
44,0,0,319,239
45,0,0,319,239
46,0,0,319,239
47,0,0,319,239
48,0,0,319,239
49,0,0,319,239
50,0,0,319,239
51,0,0,319,239
52,0,0,319,239
53,0,0,319,239
54,0,0,319,239
55,0,0,319,239
56,0,0,319,239
57,0,0,319,239
58,0,0,319,239
59,0,0,319,239
60,0,0,319,239
61,0,0,319,239
62,0,0,319,239
63,0,0,319,239
64,0,0,319,239
65,0,0,319,239
66,0,0,319,239
67,0,0,319,239
68,0,0,319,239
69,0,0,319,239
69,224,159,254,185
70,0,0,319,239
71,0,0,319,239
72,0,0,319,239
73,0,0,319,222
73,225,185,319,239
73,83,207,135,239
74,0,0,240,239
74,301,22,319,69
74,237,37,267,64
74,265,45,297,81
74,221,73,261,105
75,0,0,297,206
75,192,165,319,239
75,82,205,130,239
76,0,0,319,239
76,280,18,319,67
76,263,54,297,88
76,300,70,319,111
77,0,0,319,239
77,53,166,88,206
77,82,206,131,239
78,0,0,319,239
78,52,166,88,224
78,82,205,128,239
79,0,0,319,239
79,0,196,17,239
80,0,0,319,239
80,285,19,319,52
80,263,51,295,87
80,0,197,18,239
81,0,0,319,239
81,274,154,319,206
81,0,207,28,239
82,0,0,317,239
82,259,189,293,217
83,0,0,247,217
83,52,177,87,209
84,0,0,319,239
84,284,21,319,53
85,0,0,319,239
85,267,154,319,207
85,198,181,229,207
85,0,197,17,239
86,0,0,319,239
86,205,157,319,239
86,0,196,16,239
87,0,0,290,239
87,262,55,295,86
87,0,191,16,239
87,167,204,202,239
88,0,0,271,239
88,290,15,319,46
88,262,54,296,86
88,262,175,319,212
88,191,184,273,239
88,0,197,16,239
89,0,0,319,239
89,263,48,296,80
89,0,197,16,239
90,0,0,264,239
90,296,20,319,48
90,194,190,222,216
91,0,0,319,239
91,255,155,319,206
91,205,164,314,239
91,0,197,16,239
92,0,0,319,239
92,212,154,319,239
93,0,0,261,239
93,291,19,319,47
93,0,197,17,239
94,0,0,212,239
94,181,113,224,156
94,209,161,290,239
94,293,173,319,210
95,0,0,265,239
96,0,0,319,239
96,189,106,247,159
96,172,152,319,239
96,0,197,17,239
97,0,0,237,239
97,290,16,319,47
97,229,32,267,61
97,262,54,296,87
97,255,176,319,213
97,190,184,273,239
97,0,197,16,239
98,0,0,319,239
98,265,4,319,46
98,261,154,319,206
98,0,197,16,239
99,0,0,319,239
99,271,152,319,205
99,206,170,314,239
99,179,211,209,235
100,0,0,301,239
100,269,7,319,47
100,301,66,319,104
100,262,144,319,225
100,184,185,273,239
100,0,197,16,239
101,0,0,319,239
101,291,13,319,46
101,160,123,319,239
101,0,197,16,239
102,0,0,319,239
102,189,109,260,170
102,254,119,319,220
102,172,204,208,239
103,0,0,212,226
103,250,111,319,226
103,0,196,17,239
103,83,197,132,238
104,0,0,319,239
104,289,12,319,47
104,0,197,16,239
105,0,0,319,239
105,189,190,271,239
105,0,197,17,239
105,150,210,181,236
106,0,0,319,239
106,0,197,16,239
106,203,197,273,239
107,0,0,319,239
107,290,18,319,47
107,189,186,270,239
107,0,197,16,239
107,151,210,183,236
108,0,0,319,239
108,205,177,315,239
109,0,0,319,239
109,222,165,315,239
109,167,203,211,239
110,0,0,303,239
110,209,159,319,239
110,0,196,16,239
111,0,0,289,239
111,254,177,319,215
111,191,191,264,239
111,0,197,16,239
112,0,0,289,239
112,283,20,319,51
112,256,159,319,212
113,0,0,298,239
113,266,5,319,46
113,298,64,319,104
113,254,158,319,207
113,182,183,272,239
113,0,197,16,239
114,0,0,260,239
114,190,191,261,239
114,0,197,17,239
115,0,0,319,239
115,190,108,316,239
115,283,178,319,207
116,0,0,319,239
116,286,9,319,47
116,254,152,319,206
116,0,197,15,239
117,0,0,319,239
117,0,197,17,239
118,0,0,319,239
118,206,153,319,239
118,0,207,27,239
119,0,0,212,239
119,187,122,319,239
119,0,197,17,239
120,0,0,249,239
120,253,167,319,216
120,190,192,261,239
120,0,197,16,239
121,0,0,319,239
121,267,3,319,47
121,236,150,319,239
121,0,197,15,239
122,0,0,319,239
122,161,148,319,239
122,0,197,16,239
123,0,0,319,239
123,182,102,319,239
123,0,197,17,239
123,177,211,209,236
124,0,0,212,239
124,181,117,319,239
124,0,197,17,239
125,0,0,269,239
125,292,16,319,46
125,262,54,304,81
125,194,157,319,239
125,0,197,17,239
126,0,0,319,239
126,0,197,16,239
127,0,0,319,239
127,160,150,319,239
127,0,197,16,239
128,0,0,319,239
128,273,152,319,202
128,206,177,315,239
129,0,0,319,239
129,287,11,319,46
129,256,153,319,207
129,0,197,15,239
130,0,0,251,239
130,0,188,24,239
130,190,192,261,239
131,0,0,319,239
131,289,14,319,46
131,264,156,319,207
131,0,197,16,239
132,0,0,319,239
132,265,4,319,47
132,258,156,319,207
132,0,197,16,239
133,0,0,242,239
133,290,17,319,46
133,228,31,268,60
133,266,160,319,208
133,184,185,272,239
133,0,197,16,239
134,0,0,233,239
134,290,18,319,47
134,231,32,267,59
134,263,54,291,80
134,256,176,319,213
134,188,184,272,239
134,0,197,16,239
134,153,210,182,235
135,0,0,319,239
135,0,197,16,239
136,0,0,319,239
136,193,192,263,239
137,0,0,265,239
137,294,20,319,47
137,263,178,319,212
137,194,190,222,217
137,0,197,17,239
138,0,0,267,239
138,263,51,297,80
138,180,109,208,135
138,254,178,319,215
138,197,186,241,216
138,0,196,16,239
139,0,0,319,239
139,289,11,319,47
139,257,153,319,207
139,0,197,16,239
140,0,0,319,239
140,178,98,245,158
140,230,150,319,239
140,0,197,16,239
141,0,0,319,239
141,229,151,319,220
141,0,197,16,239
142,0,0,319,239
142,265,4,319,46
142,256,152,319,207
142,0,197,16,239
143,0,0,296,171
143,51,164,91,206
143,80,202,135,239
144,0,0,319,239
144,181,99,250,159
144,161,150,319,239
144,0,197,17,239
145,0,0,295,239
145,287,12,319,47
145,295,61,319,103
145,257,153,319,207
146,0,0,270,239
146,232,161,277,189
146,0,196,16,239
147,0,0,303,239
147,293,16,319,46
147,263,157,319,207
147,196,186,271,239
147,0,197,16,239
148,0,0,319,239
148,257,0,319,46
148,262,153,319,207
148,0,197,16,239
149,0,0,212,239
149,179,113,224,156
149,221,161,290,216
149,292,173,319,210
149,0,197,17,239
149,209,199,272,239
150,0,0,319,221
150,190,110,256,169
150,283,179,319,207
150,79,201,128,239
151,0,0,249,239
151,254,176,317,216
151,0,187,24,239
151,186,190,261,239
152,0,0,319,239
152,268,2,319,47
152,0,197,15,239
153,0,0,319,239
153,0,197,16,239
154,0,0,319,239
154,0,197,16,239
154,204,197,274,239
155,0,0,319,239
155,264,4,319,47
155,237,153,319,239
155,0,197,16,239
156,0,0,235,239
156,232,162,319,217
156,213,186,241,223
157,0,70,130,239
157,179,100,248,160
157,246,150,319,206
157,197,180,227,206
158,0,0,234,239
158,289,17,319,47
158,233,32,260,60
158,262,54,290,80
158,302,67,319,104
158,255,160,319,212
158,184,184,272,239
158,150,208,182,234
159,0,0,319,239
159,208,146,319,239
159,0,190,14,239
160,0,0,265,239
160,264,51,294,80
161,0,0,238,239
161,287,11,319,47
161,228,31,296,80
161,295,61,319,103
161,250,154,319,207
162,0,66,129,239
162,185,101,253,163
162,206,153,319,239
163,270,4,319,47
163,170,95,235,151
163,235,150,319,220
164,0,0,236,153
164,294,19,319,47
164,229,32,261,60
164,0,45,143,239
164,172,107,206,139
164,192,186,274,239
165,0,0,234,239
165,289,16,319,46
165,229,35,268,60
165,169,102,232,164
165,260,161,319,207
166,0,0,211,137
166,230,33,259,59
166,0,36,143,239
166,169,107,249,183
166,190,190,271,239
166,151,210,182,237
167,262,150,319,221
168,287,12,319,47
168,295,61,319,103
168,101,92,130,120
168,170,99,208,136
168,257,155,319,207
169,0,36,147,239
169,160,98,256,158
169,208,151,319,239
170,0,35,144,239
170,184,122,319,222
170,205,196,276,239
171,49,0,211,98
171,187,122,224,157
171,231,160,279,204
171,285,179,319,207
171,215,199,272,239
172,0,36,144,239
172,123,53,152,79
172,204,197,273,239
173,0,38,143,239
173,170,111,249,192
173,191,192,262,239
174,264,4,319,46
174,56,48,109,91
174,173,101,209,134
174,256,151,319,206
175,57,48,109,91
175,183,108,213,135
175,209,177,319,239
176,290,13,319,45
176,171,100,209,135
176,261,158,319,207
177,264,2,319,45
177,170,98,226,144
177,238,151,319,239
178,157,0,319,103
178,180,98,247,159
178,158,150,319,239
179,157,0,319,103
179,189,105,259,167
179,223,177,319,239
180,164,0,265,62
180,0,51,143,239
180,261,178,319,212
181,56,0,139,48
181,168,0,212,38
181,181,115,235,166
181,222,162,283,217
181,295,173,319,210
182,166,0,209,35
182,233,34,263,62
182,0,50,143,239
183,159,0,268,63
183,252,158,319,212
184,163,0,212,37
184,57,10,87,40
184,182,117,234,165
184,235,163,277,198
185,165,0,210,35
185,232,34,260,61
185,0,44,143,239
185,194,192,264,239
186,158,0,319,103
186,168,107,253,161
186,256,155,319,206
186,223,180,319,239
187,0,80,39,142
187,33,133,72,172
187,52,169,82,206
187,82,207,123,239
188,268,3,319,43
188,177,101,247,161
188,230,151,319,206
189,161,0,319,103
189,167,99,255,158
189,271,151,319,203
190,0,79,71,172
