frame_index,x1,y1,x2,y2
1,320,111,355,137
1,479,138,508,170
1,523,158,550,190
1,566,174,613,210
1,97,200,133,241
1,212,269,304,349
1,148,280,209,349
2,477,138,519,170
2,522,158,550,190
2,567,175,615,211
2,95,214,135,254
3,476,138,520,173
3,567,164,615,211
3,80,188,135,278
3,619,267,639,301
4,477,138,520,174
4,564,173,623,219
4,79,187,109,216
4,104,210,135,237
4,59,249,117,305
5,102,106,143,154
5,476,138,521,173
5,432,152,458,181
5,562,173,615,211
5,78,187,109,217
5,98,216,132,256
5,461,218,512,252
5,534,224,588,261
5,576,264,625,295
5,29,267,97,323
6,88,100,120,140
6,476,138,509,170
6,433,153,459,181
6,563,173,615,212
6,79,188,109,217
6,379,195,426,226
6,472,207,538,268
6,87,216,133,276
6,586,245,630,277
6,13,275,84,331
7,72,94,104,132
7,478,140,505,167
7,109,173,146,202
7,563,173,623,219
7,78,186,109,217
7,384,187,451,237
7,101,215,135,241
7,77,240,118,288
7,6,278,77,334
8,432,152,458,181
8,520,155,550,190
8,562,173,623,219
8,78,186,109,217
8,473,202,509,240
8,156,204,209,252
8,72,244,118,293
8,3,279,75,335
9,482,139,521,173
9,432,152,458,181
9,522,158,550,190
9,562,173,594,200
9,391,183,433,219
9,80,188,109,217
9,445,218,499,254
9,528,222,579,259
9,68,248,113,297
9,0,281,70,337
10,323,112,355,137
10,478,138,509,171
10,433,152,458,181
10,522,158,551,190
10,562,173,611,208
10,80,188,109,217
10,345,193,397,226
10,451,201,510,237
10,101,217,131,241
10,63,252,109,301
10,610,254,639,298
10,0,287,60,341
11,323,111,355,137
11,478,138,507,170
11,433,152,458,181
11,522,158,551,190
11,135,168,170,201
11,562,172,616,213
11,78,186,109,216
11,543,228,614,276
11,54,257,107,307
11,0,303,25,341
12,323,112,355,137
12,433,152,458,181
12,522,158,551,190
12,561,172,623,219
12,85,177,118,208
12,189,202,231,242
12,98,217,131,242
12,577,261,619,292
12,35,268,94,319
13,324,112,355,137
13,433,152,458,181
13,522,158,551,190
13,562,172,623,219
13,80,185,136,243
13,508,240,539,267
13,0,288,59,339
14,323,112,355,137
14,482,139,520,174
14,433,152,458,181
14,522,158,551,190
14,562,172,639,239
14,79,188,133,244
14,482,208,536,243
14,414,212,454,242
14,550,249,601,285
15,317,111,355,140
15,465,136,520,174
15,433,152,459,181
15,521,158,551,190
15,562,172,608,207
15,80,188,109,217
15,92,217,132,268
15,463,221,513,256
16,301,110,356,142
16,462,138,520,173
16,433,152,459,181
16,522,158,551,190
16,562,173,615,213
16,80,188,109,217
16,394,196,440,231
16,100,216,133,244
16,78,241,119,288
16,574,248,632,292
17,301,111,356,143
17,478,138,520,174
17,433,152,459,181
17,521,158,551,190
17,562,173,609,209
17,78,187,109,217
17,99,216,136,244
17,488,222,547,263
17,615,249,639,285
17,60,251,109,306
18,301,111,356,143
18,476,138,520,175
